242;673792
240;679936
244;674816
239;681472
239;679936
236;677888
234;683008
235;713216
235;730624
235;769536
228;800768
231;837632
226;874496
222;902656
221;941568
216;968192
212;1008640
211;1076736
203;1137664
203;1230336
203;1276928
193;1371648
185;1373696
177;1370112
171;1421312
161;1440256
151;1503744
147;1509888
136;1548800
124;1518080
113;1510912
105;1523200
101;1515520
99;1569280
96;1546752
96;1531392
100;1453568
105;1458176
109;1462272
121;1427968
57;1355776
134;1342464
150;1450496
144;1420800
113;1521664
105;1428480
95;1373696
102;1381376
68;1410048
85;1516544
61;1692672
70;1412608
93;1193472
123;1266176
136;507904
190;1346048
198;1312768
196;1299968
200;1221120
206;1122816
209;1060352
215;1001472
211;970752
216;947712
220;928768
224;901632
227;867328
227;841728
228;816128
231;783360
228;741376
240;704000
239;692736
236;691200
240;682496
243;685568
239;676352
242;674816
240;668672
241;657408
240;628736
238;608768
242;597504
240;591360
240;589312
246;621056
244;632320
243;642560
242;645632
245;649728
245;658432
240;652288
234;620544
235;583168
231;557568
232;563200
231;581120
230;650240
234;712704
232;790528
